Nr;Sekunden;DemandHeat;DemandPower;ProductionPV
662;594900;96;10;0
663;595800;92;8;0
664;596700;4;7;0
665;597600;72;6;0
666;598500;84;4;0
667;599400;16;3;0
668;600300;13;28;0
669;601200;32;3;0
670;602100;68;3;0
671;603000;88;3;0
672;603900;36;3;0
673;604800;88;3;0
674;605700;4;3;0
675;606600;92;3;0
676;607500;64;3;0
677;608400;88;28;0
678;609300;96;3;0
679;610200;8;3;0
680;611100;4;3;0
681;612000;88;3;0
682;612900;56;3;0
683;613800;16;3;0
684;614700;6;3;0
685;615600;24;3;0
686;616500;76;3;0
687;617400;24;3;0
688;618300;72;3;0
689;619200;68;3;0
690;620100;52;3;0
691;621000;4;3;0
692;621900;6;3;0
693;622800;13;28;0
694;623700;16;3;0
695;624600;48;3;0
696;625500;8;3;0
697;626400;92;3;0
698;627300;64;3;0
699;628200;32;3;0
700;629100;68;3;0
701;630000;32;3;0
702;630900;36;3;0
703;631800;84;3;0
704;632700;52;3;0
705;633600;4;3;0
706;634500;16;3;0
707;635400;2;3;0
708;636300;56;3;0
709;637200;68;3;13,84
710;638100;92;84;13,84
711;639000;28;84;13,84
712;639900;52;84;13,84
713;640800;12;52;20,52
714;641700;96;52;20,52
715;642600;52;10;20,52
716;643500;56;52;20,52
717;644400;64;88;25,88
718;645300;24;88;25,88
719;646200;68;88;25,88
720;647100;96;88;25,88
721;648000;48;92;30,92
722;648900;92;92;30,92
723;649800;32;92;30,92
724;650700;4;92;30,92
725;651600;6;28;38,28
726;652500;96;28;38,28
727;653400;92;28;38,28
728;654300;84;28;38,28
729;655200;48;8;26,8
730;656100;68;8;26,8
731;657000;4;8;26,8
732;657900;56;8;26,8
733;658800;92;52;10,52
734;659700;72;52;10,52
735;660600;8;52;10,52
736;661500;76;52;10,52
737;662400;8;4;0,4
738;663300;24;4;0,4
739;664200;16;4;0,4
740;665100;76;4;0,4
741;666000;52;10;0
742;666900;2;10;0
743;667800;48;10;0
744;668700;44;10;0
745;669600;56;10;0
746;670500;8;10;0
747;671400;44;10;0
748;672300;72;10;0
749;673200;36;10;0
750;674100;36;10;0
751;675000;48;10;0
752;675900;76;10;0
753;676800;56;10;0
754;677700;4;10;0
755;678600;4;10;0
756;679500;44;10;0
757;680400;2;10;0
758;681300;28;10;0
759;682200;12;8;0
760;683100;8;7;0
761;684000;8;6;0
762;684900;48;4;0
763;685800;2;3;0
764;686700;4;3;0
765;687600;15;28;0
766;688500;12;3;0
767;689400;24;3;0
768;690300;24;3;0
769;691200;12;3;0
770;692100;72;3;0
771;693000;24;3;0
772;693900;68;3;0
773;694800;12;3;0
774;695700;64;3;0
775;696600;12;3;0
776;697500;52;3;0
777;698400;76;3;0
778;699300;92;3;0
779;700200;96;3;0
780;701100;96;3;0
781;702000;52;3;0
782;702900;4;3;0
783;703800;68;3;0
784;704700;24;3;0
785;705600;24;3;0
786;706500;16;3;0
787;707400;4;3;0
788;708300;4;3;0
789;709200;2;3;0
790;710100;72;3;0
791;711000;2;5;0
792;711900;68;7;0
793;712800;32;9;0
794;713700;48;11;0
795;714600;36;13;0
796;715500;6;13;0
797;716400;64;13;0
798;717300;16;13;0
799;718200;24;13;0
800;719100;44;48;0
801;720000;2;13;0
802;720900;24;13;0
803;721800;24;13;0
804;722700;12;13;0
805;723600;50;13;3,6
806;724500;49;13;3,6
807;725400;32;6;3,6
808;726300;84;6;3,6
809;727200;12;6;5,6
810;728100;28;6;5,6
811;729000;6;6;5,6
812;729900;63;20;5,6
813;730800;2;48;9,48
814;731700;78;20;9,48
815;732600;36;48;9,48
816;733500;64;48;9,48
817;734400;96;76;23,76
818;735300;4;76;23,76
819;736200;96;76;23,76
820;737100;48;76;23,76
821;738000;84;2;19,2
822;738900;36;2;19,2
823;739800;16;2;19,2
824;740700;36;2;19,2
825;741600;76;12;11,12
826;742500;81;20;11,12
827;743400;48;12;11,12
828;744300;52;12;11,12
829;745200;44;32;8,32
830;746100;4;32;8,32
831;747000;52;32;8,32
832;747900;33;20;8,32
833;748800;32;20;1
834;749700;47;24;1
835;750600;52;20;1
836;751500;47;24;1
837;752400;16;20;0
838;753300;56;20;0
839;754200;68;19;0
840;755100;6;18;0
841;756000;92;17;0
842;756900;8;16;0
843;757800;6;14;0
844;758700;16;13;0
845;759600;72;12;0
846;760500;32;11;0
847;761400;4;10;0
848;762300;103;8;0
849;763200;28;10;0
850;764100;8;10;0
851;765000;92;10;0
852;765900;56;10;0
853;766800;88;10;0
854;767700;96;10;0
855;768600;8;8;0
856;769500;16;7;0
857;770400;92;6;0
858;771300;12;4;0
859;772200;44;3;0
860;773100;4;3;0
861;774000;8;28;0
862;774900;4;3;0
863;775800;44;3;0
864;776700;16;3;0
865;777600;12;3;0
866;778500;12;3;0
867;779400;12;3;0
868;780300;56;3;0
869;781200;72;3;0
870;782100;96;3;0
871;783000;4;3;0
872;783900;4;3;0
873;784800;8;3;0
874;785700;48;3;0
875;786600;4;3;0
876;787500;6;3;0
877;788400;68;3;0
878;789300;76;3;0
879;790200;84;3;0
880;791100;8;3;0
881;792000;84;3;0
882;792900;32;3;0
883;793800;25;28;0
884;794700;44;3;0
885;795600;84;3;0
886;796500;16;3;0
887;797400;8;5;0
888;798300;36;7;0
889;799200;48;9;0
890;800100;72;11;0
891;801000;36;13;0
892;801900;44;13;0
893;802800;52;13;0
894;803700;92;13;0
895;804600;36;13;0
896;805500;4;13;0
897;806400;32;13;0
898;807300;16;13;0
899;808200;28;13;0
900;809100;72;13;0
901;810000;72;4;11,04
902;810900;36;4;11,04
903;811800;8;4;11,04
904;812700;96;4;11,04
905;813600;56;92;24,92
906;814500;44;92;24,92
907;815400;36;92;24,92
908;816300;92;92;24,92
909;817200;76;96;46,96
910;818100;12;96;46,96
911;819000;48;96;46,96
912;819900;88;96;46,96
913;820800;88;44;53,44
914;821700;52;20;53,44
915;822600;54;20;53,44
916;823500;8;44;53,44
917;824400;64;92;33,92
918;825300;8;92;33,92
919;826200;72;92;33,92
920;827100;48;92;33,92
921;828000;81;20;21,24
922;828900;36;24;21,24
923;829800;92;24;21,24
924;830700;72;24;21,24
925;831600;88;20;10
926;832500;44;20;10
927;833400;84;20;10
928;834300;64;20;10
929;835200;52;2;0,2
930;836100;32;2;0,2
931;837000;64;2;0,2
932;837900;56;2;0,2
933;838800;76;20;0
934;839700;52;20;0
935;840600;83;32;0
936;841500;28;18;0
937;842400;64;17;0
938;843300;76;16;0
939;844200;68;14;0
940;845100;64;13;0
941;846000;76;12;0
942;846900;92;11;0
943;847800;24;10;0
944;848700;76;10;0
945;849600;6;10;0
946;850500;52;10;0
947;851400;76;10;0
948;852300;4;10;0
949;853200;8;10;0
950;854100;76;10;0
951;855000;72;8;0
952;855900;68;7;0
953;856800;24;6;0
954;857700;64;4;0
955;858600;44;28;0
956;859500;16;3;0
957;860400;28;28;0
958;861300;6;3;0
959;862200;4;3;0
960;863100;14;28;0
961;864000;12;3;0
962;864900;4;3;0
963;865800;52;3;0
964;866700;48;3;0
965;867600;48;3;0
966;868500;16;3;0
967;869400;76;3;0
968;870300;24;3;0
969;871200;4;3;0
970;872100;76;3;0
971;873000;4;3;0
972;873900;96;3;0
973;874800;4;3;0
974;875700;8;3;0
975;876600;24;3;0
976;877500;6;3;0
977;878400;6;3;0
978;879300;88;3;0
979;880200;25;28;0
980;881100;2;3;0
981;882000;56;3;0
982;882900;72;3;0
983;883800;46;32;0
984;884700;8;7;0
985;885600;72;9;0
986;886500;28;11;0
987;887400;56;13;0
988;888300;6;13;0
989;889200;64;13;0
990;890100;2;13;0
991;891000;52;13;0
992;891900;44;13;0
993;892800;8;13;0
994;893700;52;13;0
995;894600;64;13;0
996;895500;73;48;0
997;896400;76;6;8,6
998;897300;4;6;8,6
999;898200;44;6;8,6
1000;899100;92;6;8,6
1001;900000;8;24;14,24
1002;900900;56;24;14,24
1003;901800;52;24;14,24
1004;902700;8;24;14,24
1005;903600;96;44;7,44
1006;904500;24;44;7,44
1007;905400;52;44;7,44
1008;906300;4;44;7,44
1009;907200;88;2;5,2
1010;908100;8;2;5,2
1011;909000;56;2;5,2
1012;909900;4;2;5,2
1013;910800;56;36;6,36
1014;911700;79;20;6,36
1015;912600;4;36;6,36
1016;913500;56;36;6,36
1017;914400;72;44;4,44
1018;915300;6;44;4,44
1019;916200;52;44;4,44
1020;917100;56;44;4,44
1021;918000;84;16;1,16
1022;918900;2;16;1,16
1023;919800;68;16;1,16
1024;920700;28;16;1,16
1025;921600;4;20;0
1026;922500;2;20;0
1027;923400;28;20;0
1028;924300;8;20;0
1029;925200;4;20;0
1030;926100;32;20;0
1031;927000;48;19;0
1032;927900;44;18;0
1033;928800;64;17;0
1034;929700;32;16;0
1035;930600;92;14;0
1036;931500;68;13;0
1037;932400;2;12;0
1038;933300;76;11;0
1039;934200;44;10;0
1040;935100;32;10;0
1041;936000;96;10;0
1042;936900;96;10;0
1043;937800;44;10;0
1044;938700;84;10;0
1045;939600;64;10;0
1046;940500;72;10;0
1047;941400;88;8;0
1048;942300;2;7;0
1049;943200;48;6;0
1050;944100;6;4;0
1051;945000;76;3;0
1052;945900;84;3;0
1053;946800;2;28;0
1054;947700;4;3;0
1055;948600;64;3;0
1056;949500;76;3;0
1057;950400;76;3;0
1058;951300;28;3;0
1059;952200;76;3;0
1060;953100;32;3;0
1061;954000;84;3;0
1062;954900;72;3;0
1063;955800;6;3;0
1064;956700;4;3;0
1065;957600;84;3;0
1066;958500;36;3;0
1067;959400;92;3;0
1068;960300;36;3;0
1069;961200;76;3;0
1070;962100;12;3;0
1071;963000;4;3;0
1072;963900;72;3;0
1073;964800;4;3;0
1074;965700;32;3;0
1075;966600;12;3;0
1076;967500;24;3;0
1077;968400;72;3;0
1078;969300;56;3;0
1079;970200;28;5;0
1080;971100;52;7;0
1081;972000;2;9;0
1082;972900;76;11;0
1083;973800;68;13;0
1084;974700;2;13;0
1085;975600;56;13;0
1086;976500;48;13;0
1087;977400;16;13;0
1088;978300;44;48;0
1089;979200;44;12;0,12
1090;980100;28;12;0,12
1091;981000;44;12;0,12
1092;981900;96;12;0,12
1093;982800;6;84;10,84
1094;983700;24;84;10,84
1095;984600;52;84;10,84
1096;985500;4;84;10,84
1097;986400;36;76;20,76
1098;987300;24;76;20,76
1099;988200;6;76;20,76
1100;989100;44;76;20,76
1101;990000;64;16;20,16
1102;990900;76;16;20,16
1103;991800;92;16;20,16
1104;992700;76;16;20,16
1105;993600;84;2;13,2
1106;994500;72;2;13,2
1107;995400;8;2;13,2
1108;996300;2;2;13,2
1109;997200;68;68;7,68
1110;998100;32;68;7,68
1111;999000;68;68;7,68
1112;999900;6;68;7,68
1113;1000800;88;6;9,6
1114;1001700;56;6;9,6
1115;1002600;44;6;9,6
1116;1003500;64;6;9,6
1117;1004400;84;16;1,16
1118;1005300;12;16;1,16
1119;1006200;36;16;1,16
1120;1007100;56;16;1,16
1121;1008000;28;20;0
1122;1008900;36;20;0
1123;1009800;4;20;0
1124;1010700;96;20;0
1125;1011600;36;20;0
1126;1012500;48;20;0
1127;1013400;4;19;0
1128;1014300;2;18;0
1129;1015200;68;17;0
1130;1016100;4;16;0
1131;1017000;6;14;0
1132;1017900;24;13;0
1133;1018800;52;12;0
1134;1019700;84;11;0
1135;1020600;28;10;0
1136;1021500;96;10;0
1137;1022400;64;10;0
1138;1023300;84;10;0
1139;1024200;4;10;0
1140;1025100;4;10;0
1141;1026000;6;10;0
1142;1026900;4;10;0
1143;1027800;24;8;0
1144;1028700;8;7;0
1145;1029600;52;6;0
1146;1030500;32;4;0
1147;1031400;76;3;0
1148;1032300;2;3;0
1149;1033200;12;28;0
1150;1034100;8;3;0
1151;1035000;72;3;0
1152;1035900;96;3;0
1153;1036800;96;3;0
1154;1037700;36;3;0
1155;1038600;68;3;0
1156;1039500;4;3;0
1157;1040400;36;3;0
1158;1041300;84;3;0
1159;1042200;44;3;0
1160;1043100;2;3;0
1161;1044000;28;3;0
1162;1044900;36;3;0
1163;1045800;52;3;0
1164;1046700;64;3;0
1165;1047600;16;3;0
1166;1048500;64;3;0
1167;1049400;16;3;0
1168;1050300;64;3;0
1169;1051200;48;3;0
1170;1052100;4;3;0
1171;1053000;6;3;0
1172;1053900;84;3;0
1173;1054800;84;3;0
1174;1055700;92;3;0
1175;1056600;24;5;0
1176;1057500;24;7;0
1177;1058400;32;9;0
1178;1059300;24;11;0
1179;1060200;28;13;0
1180;1061100;24;13;0
1181;1062000;16;13;0
1182;1062900;16;13;0
1183;1063800;84;13;0
